"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse","Seed","glmmTMB_collapsed_vars"
41,"Lin",0.666666666666667,0,0.028277126760252,1,0.5,0.076075036783321,5,0.1,-0.00422213493541349,0.00113319362797272,NA,13579,NA
41,"Bondell",1,0.6,0.0141364985914444,1,0.5,0.0396940178204241,0.4,0.4,0.00214968640550165,0,NA,13579,NA
42,"glmmTMB",0.666666666666667,0.6,0.0295578010515665,NA,NA,0.0922388532237236,20.6184125759897,NA,NA,NA,TRUE,13579,"x1"
42,"Lin",0.666666666666667,0,0.0278612580789931,1,0.5,0.0931936382695776,1,0.1,-0.00455761639118349,0.00705427643542315,NA,13579,NA
42,"Bondell",0.666666666666667,0,0.0334539677258889,1,0,0.0889895035640956,0.2,0.2,0,0,NA,13579,NA
43,"glmmTMB",1,1,0.0189343147392183,NA,NA,0.070236520910494,0.112775423252096,NA,NA,NA,FALSE,13579,""
43,"Lin",0.666666666666667,0,0.0291513648149672,1,0.5,0.0871778168045653,10,2.5,0,0.000447171684718483,NA,13579,NA
43,"Bondell",1,0.4,0.00735409526066667,1,0.5,0.0376847345249582,0.4,0.4,0,0.0014280707431459,NA,13579,NA
44,"glmmTMB",1,1,0.00325169810130933,NA,NA,0.0280706299257424,0.001,NA,NA,NA,FALSE,13579,""
44,"Lin",0.666666666666667,0,0.028631026746791,1,1,0.080240116740669,5,1,0.0025249368788421,0.00851184114415358,NA,13579,NA
44,"Bondell",1,0,0.000510004550888889,1,1,0.0239002437660404,0.4,0.4,0.00293682702634297,0.00471294835450072,NA,13579,NA
45,"glmmTMB",1,1,0.00308801837043308,NA,NA,0.0267052944087151,0.001,NA,NA,NA,FALSE,13579,""
45,"Lin",1,0,0.000123877102369836,1,0.5,0.0235390758399049,2.5,0.1,-0.00217912434925798,0.0197217933447603,NA,13579,NA
45,"Bondell",1,0.2,0.000425005922,1,1,0.0232185764214788,0.4,0.4,0.00288810426113961,0.0132132243735523,NA,13579,NA
46,"glmmTMB",0.666666666666667,1,0.0367582943490461,NA,NA,0.0771549406580358,41.6788149189533,NA,NA,NA,TRUE,13579,"x1"
46,"Lin",0.666666666666667,0,0.0279473600731206,1,0.5,0.0718964947619487,5,0.1,-0.00261466081572339,0.0513876124790729,NA,13579,NA
46,"Bondell",1,0.2,0.0282817114214444,1,1,0.0682267216264253,0.4,0.4,0.00271204539281862,0.0288831736572798,NA,13579,NA
47,"glmmTMB",1,1,0.00385114226501825,NA,NA,0.0221454038145081,0.001,NA,NA,NA,FALSE,13579,""
47,"Lin",0.666666666666667,0,0.0287301477367668,1,0,0.0768498554577968,5,1,-2.16261667990602e-05,0,NA,13579,NA
47,"Bondell",1,0.2,0.00330955384344444,1,0,0.0257469025336973,0.4,0.4,0,0,NA,13579,NA
48,"glmmTMB",0.666666666666667,1,0.0395029542773801,NA,NA,0.0884482935894002,6.11816872991646,NA,NA,NA,TRUE,13579,"x1"
48,"Lin",0.666666666666667,0,0.0280468065524449,1,0,0.0714376668914542,5,0.1,-0.000877190929564341,-0.0124473984883163,NA,13579,NA
48,"Bondell",0.666666666666667,0.4,0.029461771942,1,0,0.0646505162625308,0.4,0.4,0,0,NA,13579,NA
49,"glmmTMB",1,1,0.0031303579178419,NA,NA,0.0444235517493635,0.001,NA,NA,NA,FALSE,13579,""
49,"Lin",1,0,0.000107495803406344,1,0,0.0490505599592475,1,0.1,-8.26369920512238e-05,-0.00557722514182763,NA,13579,NA
49,"Bondell",1,0.4,4.62605044444446e-05,1,0,0.0421095096858596,0.4,0.4,0,0,NA,13579,NA
50,"glmmTMB",1,0.8,0.012542689812708,NA,NA,0.0495224428927458,0.001,NA,NA,NA,FALSE,13579,""
50,"Lin",1,0,0.00116317287142017,1,0.5,0.0437913651903941,5,0.1,-0.00415900015366452,0.011182904259051,NA,13579,NA
50,"Bondell",1,0,0.00120255711544444,1,1,0.0367690155179903,0.4,0.4,0.00926253575381496,0.0039055730902935,NA,13579,NA
